displaySymbol,symbol
XAU/JPY,OANDA:XAU_JPY
USD/THB,OANDA:USD_THB
XAU/EUR,OANDA:XAU_EUR
EUR/SEK,OANDA:EUR_SEK
SGD/CHF,OANDA:SGD_CHF
USD/CAD,OANDA:USD_CAD
XAU/GBP,OANDA:XAU_GBP
NL25/EUR,OANDA:NL25_EUR
XAG/SGD,OANDA:XAG_SGD
XPD/USD,OANDA:XPD_USD
CAD/HKD,OANDA:CAD_HKD
NZD/HKD,OANDA:NZD_HKD
EU50/EUR,OANDA:EU50_EUR
NZD/CAD,OANDA:NZD_CAD
XAG/CHF,OANDA:XAG_CHF
USD/HUF,OANDA:USD_HUF
USD/SEK,OANDA:USD_SEK
EUR/TRY,OANDA:EUR_TRY
NAS100/USD,OANDA:NAS100_USD
GBP/CAD,OANDA:GBP_CAD
NATGAS/USD,OANDA:NATGAS_USD
AUD/HKD,OANDA:AUD_HKD
XAG/JPY,OANDA:XAG_JPY
JP225Y/JPY,OANDA:JP225Y_JPY
EUR/AUD,OANDA:EUR_AUD
GBP/USD,OANDA:GBP_USD
EUR/NZD,OANDA:EUR_NZD
HKD/JPY,OANDA:HKD_JPY
GBP/CHF,OANDA:GBP_CHF
US2000/USD,OANDA:US2000_USD
SGD/JPY,OANDA:SGD_JPY
NZD/JPY,OANDA:NZD_JPY
EUR/PLN,OANDA:EUR_PLN
USD/MXN,OANDA:USD_MXN
XAU/NZD,OANDA:XAU_NZD
TRY/JPY,OANDA:TRY_JPY
CAD/SGD,OANDA:CAD_SGD
NZD/SGD,OANDA:NZD_SGD
CHF/HKD,OANDA:CHF_HKD
USD/SGD,OANDA:USD_SGD
CORN/USD,OANDA:CORN_USD
AUD/SGD,OANDA:AUD_SGD
CHF/ZAR,OANDA:CHF_ZAR
UK10YB/GBP,OANDA:UK10YB_GBP
EUR/JPY,OANDA:EUR_JPY
FR40/EUR,OANDA:FR40_EUR
ZAR/JPY,OANDA:ZAR_JPY
EUR/DKK,OANDA:EUR_DKK
CAD/CHF,OANDA:CAD_CHF
EUR/NOK,OANDA:EUR_NOK
USD/CZK,OANDA:USD_CZK
XAU/SGD,OANDA:XAU_SGD
USB05Y/USD,OANDA:USB05Y_USD
XAU/USD,OANDA:XAU_USD
EUR/USD,OANDA:EUR_USD
XAG/AUD,OANDA:XAG_AUD
AUD/CAD,OANDA:AUD_CAD
SOYBN/USD,OANDA:SOYBN_USD
EUR/GBP,OANDA:EUR_GBP
CN50/USD,OANDA:CN50_USD
EUR/CZK,OANDA:EUR_CZK
DE10YB/EUR,OANDA:DE10YB_EUR
SUGAR/USD,OANDA:SUGAR_USD
USB30Y/USD,OANDA:USB30Y_USD
EUR/ZAR,OANDA:EUR_ZAR
NZD/CHF,OANDA:NZD_CHF
USB02Y/USD,OANDA:USB02Y_USD
XAG/GBP,OANDA:XAG_GBP
USD/TRY,OANDA:USD_TRY
EUR/CAD,OANDA:EUR_CAD
GBP/PLN,OANDA:GBP_PLN
EUR/CHF,OANDA:EUR_CHF
WTICO/USD,OANDA:WTICO_USD
DE30/EUR,OANDA:DE30_EUR
XPT/USD,OANDA:XPT_USD
USD/NOK,OANDA:USD_NOK
GBP/SGD,OANDA:GBP_SGD
NZD/USD,OANDA:NZD_USD
SPX500/USD,OANDA:SPX500_USD
USD/CNH,OANDA:USD_CNH
XAU/AUD,OANDA:XAU_AUD
GBP/HKD,OANDA:GBP_HKD
XAG/HKD,OANDA:XAG_HKD
CAD/JPY,OANDA:CAD_JPY
SG30/SGD,OANDA:SG30_SGD
USD/PLN,OANDA:USD_PLN
US30/USD,OANDA:US30_USD
USB10Y/USD,OANDA:USB10Y_USD
AUD/CHF,OANDA:AUD_CHF
AUD/USD,OANDA:AUD_USD
AUD/NZD,OANDA:AUD_NZD
EUR/SGD,OANDA:EUR_SGD
AU200/AUD,OANDA:AU200_AUD
USD/CHF,OANDA:USD_CHF
USD/JPY,OANDA:USD_JPY
AUD/JPY,OANDA:AUD_JPY
GBP/JPY,OANDA:GBP_JPY
XCU/USD,OANDA:XCU_USD
XAU/CHF,OANDA:XAU_CHF
GBP/NZD,OANDA:GBP_NZD
GBP/ZAR,OANDA:GBP_ZAR
XAU/CAD,OANDA:XAU_CAD
USD/HKD,OANDA:USD_HKD
USD/ZAR,OANDA:USD_ZAR
BCO/USD,OANDA:BCO_USD
EUR/HUF,OANDA:EUR_HUF
XAU/HKD,OANDA:XAU_HKD
XAG/USD,OANDA:XAG_USD
WHEAT/USD,OANDA:WHEAT_USD
XAG/EUR,OANDA:XAG_EUR
XAU/XAG,OANDA:XAU_XAG
EUR/HKD,OANDA:EUR_HKD
UK100/GBP,OANDA:UK100_GBP
USD/DKK,OANDA:USD_DKK
CHF/JPY,OANDA:CHF_JPY
XAG/NZD,OANDA:XAG_NZD
GBP/AUD,OANDA:GBP_AUD
XAG/CAD,OANDA:XAG_CAD
HK33/HKD,OANDA:HK33_HKD
JP225/USD,OANDA:JP225_USD
