c,p,s,t,v
,10.865169999999999,OANDA:EUR_SEK,1778273945081,0
,1.36764,OANDA:USD_CAD,1778273945083,0
,32.207,OANDA:USD_THB,1778273945087,0
,0.61283,OANDA:SGD_CHF,1778273945083,0
,0.61283,OANDA:SGD_CHF,1778273945083,0
,10.865169999999999,OANDA:EUR_SEK,1778273945081,0
,1.36764,OANDA:USD_CAD,1778273945083,0
,32.207,OANDA:USD_THB,1778273945087,0
,10.865169999999999,OANDA:EUR_SEK,1778273945081,0
,1.36764,OANDA:USD_CAD,1778273945083,0
,32.207,OANDA:USD_THB,1778273945087,0
,0.61283,OANDA:SGD_CHF,1778273945083,0
,10.865169999999999,OANDA:EUR_SEK,1778273945081,0
,1.36764,OANDA:USD_CAD,1778273945083,0
,32.207,OANDA:USD_THB,1778273945087,0
,0.61283,OANDA:SGD_CHF,1778273945083,0
,10.865169999999999,OANDA:EUR_SEK,1778273945081,0
,1.36764,OANDA:USD_CAD,1778273945083,0
,32.207,OANDA:USD_THB,1778273945087,0
,0.61283,OANDA:SGD_CHF,1778273945083,0
,10.865169999999999,OANDA:EUR_SEK,1778273945081,0
,1.36764,OANDA:USD_CAD,1778273945083,0
,32.207,OANDA:USD_THB,1778273945087,0
,0.61283,OANDA:SGD_CHF,1778273945083,0
